Epoch 31 train AUC 0.942 (cont: 0.171, recon: 0.203)
Epoch 31 valid AUC 0.858 (cont: 0.325, recon: 0.452)
Epoch 31 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 32 train AUC 0.943 (cont: 0.171, recon: 0.203)
Epoch 32 valid AUC 0.858 (cont: 0.325, recon: 0.452)
Epoch 32 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 33 train AUC 0.943 (cont: 0.170, recon: 0.203)
Epoch 33 valid AUC 0.858 (cont: 0.324, recon: 0.452)
Epoch 33 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 34 train AUC 0.943 (cont: 0.169, recon: 0.203)
Epoch 34 valid AUC 0.858 (cont: 0.324, recon: 0.452)
Epoch 34 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 35 train AUC 0.944 (cont: 0.169, recon: 0.203)
Epoch 35 valid AUC 0.858 (cont: 0.324, recon: 0.452)
Epoch 35 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 36 train AUC 0.944 (cont: 0.168, recon: 0.203)
Epoch 36 valid AUC 0.858 (cont: 0.324, recon: 0.452)
Epoch 36 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 37 train AUC 0.944 (cont: 0.168, recon: 0.203)
Epoch 37 valid AUC 0.858 (cont: 0.324, recon: 0.452)
Epoch 37 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 38 train AUC 0.945 (cont: 0.167, recon: 0.203)
Epoch 38 valid AUC 0.858 (cont: 0.324, recon: 0.452)
Epoch 38 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 39 train AUC 0.945 (cont: 0.167, recon: 0.203)
Epoch 39 valid AUC 0.859 (cont: 0.324, recon: 0.452)
Epoch 39 test AUC 0.788 (cont: 0.347, recon: 0.520)
Epoch 40 train AUC 0.946 (cont: 0.166, recon: 0.203)
Epoch 40 valid AUC 0.858 (cont: 0.323, recon: 0.452)
Epoch 40 test AUC 0.788 (cont: 0.347, recon: 0.520)
Epoch 41 train AUC 0.946 (cont: 0.166, recon: 0.203)
Epoch 41 valid AUC 0.860 (cont: 0.324, recon: 0.452)
Epoch 41 test AUC 0.790 (cont: 0.345, recon: 0.520)
Epoch 42 train AUC 0.946 (cont: 0.165, recon: 0.203)
Epoch 42 valid AUC 0.857 (cont: 0.324, recon: 0.452)
Epoch 42 test AUC 0.787 (cont: 0.346, recon: 0.520)
Epoch 43 train AUC 0.946 (cont: 0.165, recon: 0.203)
Epoch 43 valid AUC 0.858 (cont: 0.323, recon: 0.452)
Epoch 43 test AUC 0.787 (cont: 0.346, recon: 0.520)
Epoch 44 train AUC 0.946 (cont: 0.164, recon: 0.203)
Epoch 44 valid AUC 0.858 (cont: 0.323, recon: 0.452)
Epoch 44 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 45 train AUC 0.947 (cont: 0.164, recon: 0.203)
Epoch 45 valid AUC 0.858 (cont: 0.323, recon: 0.452)
Epoch 45 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 46 train AUC 0.947 (cont: 0.164, recon: 0.203)
Epoch 46 valid AUC 0.858 (cont: 0.323, recon: 0.452)
Epoch 46 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 47 train AUC 0.947 (cont: 0.163, recon: 0.203)
Epoch 47 valid AUC 0.858 (cont: 0.323, recon: 0.452)
Epoch 47 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 48 train AUC 0.947 (cont: 0.163, recon: 0.203)
Epoch 48 valid AUC 0.858 (cont: 0.323, recon: 0.452)
Epoch 48 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 49 train AUC 0.947 (cont: 0.162, recon: 0.203)
Epoch 49 valid AUC 0.858 (cont: 0.323, recon: 0.452)
Epoch 49 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 50 train AUC 0.948 (cont: 0.162, recon: 0.203)
Epoch 50 valid AUC 0.858 (cont: 0.323, recon: 0.452)
Epoch 50 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 51 train AUC 0.948 (cont: 0.162, recon: 0.203)
Epoch 51 valid AUC 0.858 (cont: 0.323, recon: 0.452)
Epoch 51 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 52 train AUC 0.948 (cont: 0.161, recon: 0.203)
Epoch 52 valid AUC 0.858 (cont: 0.323, recon: 0.452)
Epoch 52 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 53 train AUC 0.948 (cont: 0.161, recon: 0.203)
Epoch 53 valid AUC 0.859 (cont: 0.323, recon: 0.452)
Epoch 53 test AUC 0.788 (cont: 0.347, recon: 0.520)
Epoch 54 train AUC 0.949 (cont: 0.161, recon: 0.203)
Epoch 54 valid AUC 0.859 (cont: 0.323, recon: 0.452)
Epoch 54 test AUC 0.787 (cont: 0.348, recon: 0.520)
Epoch 55 train AUC 0.949 (cont: 0.160, recon: 0.203)
Epoch 55 valid AUC 0.859 (cont: 0.323, recon: 0.452)
Epoch 55 test AUC 0.787 (cont: 0.350, recon: 0.520)
Epoch 56 train AUC 0.949 (cont: 0.160, recon: 0.203)
Epoch 56 valid AUC 0.860 (cont: 0.321, recon: 0.452)
Epoch 56 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 57 train AUC 0.950 (cont: 0.160, recon: 0.203)
Epoch 57 valid AUC 0.858 (cont: 0.322, recon: 0.452)
Epoch 57 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 58 train AUC 0.949 (cont: 0.159, recon: 0.203)
Epoch 58 valid AUC 0.859 (cont: 0.322, recon: 0.452)
Epoch 58 test AUC 0.789 (cont: 0.345, recon: 0.520)
Epoch 59 train AUC 0.949 (cont: 0.159, recon: 0.203)
Epoch 59 valid AUC 0.858 (cont: 0.322, recon: 0.452)
Epoch 59 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 60 train AUC 0.950 (cont: 0.159, recon: 0.203)
Epoch 60 valid AUC 0.858 (cont: 0.322, recon: 0.452)
Epoch 60 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 61 train AUC 0.950 (cont: 0.159, recon: 0.203)
Epoch 61 valid AUC 0.858 (cont: 0.321, recon: 0.452)
Epoch 61 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 62 train AUC 0.950 (cont: 0.158, recon: 0.203)
