Epoch 29 valid AUC 0.667 (cont: 0.039, recon: 0.000) dna
Epoch 29 test AUC 0.595 (cont: 0.073, recon: 0.000) dna
Epoch 30 train AUC 0.746 (cont: 0.041, recon: 0.000) molecule
Epoch 30 valid AUC 0.752 (cont: 0.047, recon: 0.000) molecule
Epoch 30 test AUC 0.715 (cont: 0.056, recon: 0.000) molecule
Epoch 31 train AUC 0.830 (cont: 0.027, recon: 0.000) text
Epoch 31 valid AUC 0.807 (cont: 0.053, recon: 0.000) text
Epoch 31 test AUC 0.683 (cont: 0.085, recon: 0.000) text
Epoch 32 train AUC 0.915 (cont: 0.164, recon: 0.000) protein
Epoch 32 valid AUC 0.868 (cont: 0.175, recon: 0.000) protein
Epoch 32 test AUC 0.812 (cont: 0.159, recon: 0.000) protein
Epoch 33 train AUC 0.687 (cont: 0.007, recon: 0.000) dna
Epoch 33 valid AUC 0.669 (cont: 0.040, recon: 0.000) dna
Epoch 33 test AUC 0.594 (cont: 0.073, recon: 0.000) dna
Epoch 34 train AUC 0.751 (cont: 0.041, recon: 0.000) molecule
Epoch 34 valid AUC 0.754 (cont: 0.047, recon: 0.000) molecule
Epoch 34 test AUC 0.716 (cont: 0.056, recon: 0.000) molecule
Epoch 35 train AUC 0.832 (cont: 0.027, recon: 0.000) text
Epoch 35 valid AUC 0.809 (cont: 0.053, recon: 0.000) text
Epoch 35 test AUC 0.682 (cont: 0.085, recon: 0.000) text
Epoch 36 train AUC 0.916 (cont: 0.162, recon: 0.000) protein
Epoch 36 valid AUC 0.869 (cont: 0.175, recon: 0.000) protein
Epoch 36 test AUC 0.813 (cont: 0.159, recon: 0.000) protein
Epoch 37 train AUC 0.690 (cont: 0.007, recon: 0.000) dna
Epoch 37 valid AUC 0.669 (cont: 0.040, recon: 0.000) dna
Epoch 37 test AUC 0.593 (cont: 0.074, recon: 0.000) dna
Epoch 38 train AUC 0.753 (cont: 0.041, recon: 0.000) molecule
Epoch 38 valid AUC 0.759 (cont: 0.046, recon: 0.000) molecule
Epoch 38 test AUC 0.719 (cont: 0.056, recon: 0.000) molecule
Epoch 39 train AUC 0.836 (cont: 0.026, recon: 0.000) text
Epoch 39 valid AUC 0.814 (cont: 0.053, recon: 0.000) text
Epoch 39 test AUC 0.690 (cont: 0.084, recon: 0.000) text
Epoch 40 train AUC 0.918 (cont: 0.161, recon: 0.000) protein
Epoch 40 valid AUC 0.870 (cont: 0.175, recon: 0.000) protein
Epoch 40 test AUC 0.816 (cont: 0.158, recon: 0.000) protein
Epoch 41 train AUC 0.686 (cont: 0.008, recon: 0.000) dna
Epoch 41 valid AUC 0.670 (cont: 0.040, recon: 0.000) dna
Epoch 41 test AUC 0.592 (cont: 0.074, recon: 0.000) dna
Epoch 42 train AUC 0.757 (cont: 0.040, recon: 0.000) molecule
Epoch 42 valid AUC 0.759 (cont: 0.046, recon: 0.000) molecule
Epoch 42 test AUC 0.718 (cont: 0.056, recon: 0.000) molecule
Epoch 43 train AUC 0.838 (cont: 0.026, recon: 0.000) text
Epoch 43 valid AUC 0.815 (cont: 0.053, recon: 0.000) text
Epoch 43 test AUC 0.686 (cont: 0.084, recon: 0.000) text
Epoch 44 train AUC 0.918 (cont: 0.160, recon: 0.000) protein
