Epoch 31 train AUC 0.843 (cont: 0.323, recon: 0.000)
Epoch 31 valid AUC 0.753 (cont: 0.656, recon: 0.000)
Epoch 31 test AUC 0.744 (cont: 1.412, recon: 0.000)
Epoch 32 train AUC 0.849 (cont: 0.322, recon: 0.000)
Epoch 32 valid AUC 0.756 (cont: 0.655, recon: 0.000)
Epoch 32 test AUC 0.747 (cont: 1.411, recon: 0.000)
Epoch 33 train AUC 0.854 (cont: 0.321, recon: 0.000)
Epoch 33 valid AUC 0.759 (cont: 0.654, recon: 0.000)
Epoch 33 test AUC 0.751 (cont: 1.409, recon: 0.000)
Epoch 34 train AUC 0.860 (cont: 0.320, recon: 0.000)
Epoch 34 valid AUC 0.762 (cont: 0.653, recon: 0.000)
Epoch 34 test AUC 0.754 (cont: 1.408, recon: 0.000)
Epoch 35 train AUC 0.865 (cont: 0.319, recon: 0.000)
Epoch 35 valid AUC 0.764 (cont: 0.652, recon: 0.000)
Epoch 35 test AUC 0.758 (cont: 1.406, recon: 0.000)
Epoch 36 train AUC 0.871 (cont: 0.318, recon: 0.000)
Epoch 36 valid AUC 0.767 (cont: 0.651, recon: 0.000)
Epoch 36 test AUC 0.761 (cont: 1.405, recon: 0.000)
Epoch 37 train AUC 0.875 (cont: 0.317, recon: 0.000)
Epoch 37 valid AUC 0.770 (cont: 0.650, recon: 0.000)
Epoch 37 test AUC 0.764 (cont: 1.403, recon: 0.000)
Epoch 38 train AUC 0.880 (cont: 0.316, recon: 0.000)
Epoch 38 valid AUC 0.772 (cont: 0.649, recon: 0.000)
Epoch 38 test AUC 0.767 (cont: 1.402, recon: 0.000)
Epoch 39 train AUC 0.885 (cont: 0.315, recon: 0.000)
Epoch 39 valid AUC 0.775 (cont: 0.648, recon: 0.000)
Epoch 39 test AUC 0.770 (cont: 1.400, recon: 0.000)
Epoch 40 train AUC 0.889 (cont: 0.314, recon: 0.000)
Epoch 40 valid AUC 0.777 (cont: 0.647, recon: 0.000)
Epoch 40 test AUC 0.772 (cont: 1.398, recon: 0.000)
Epoch 41 train AUC 0.893 (cont: 0.313, recon: 0.000)
Epoch 41 valid AUC 0.779 (cont: 0.646, recon: 0.000)
Epoch 41 test AUC 0.775 (cont: 1.397, recon: 0.000)
Epoch 42 train AUC 0.898 (cont: 0.311, recon: 0.000)
Epoch 42 valid AUC 0.781 (cont: 0.645, recon: 0.000)
Epoch 42 test AUC 0.777 (cont: 1.395, recon: 0.000)
Epoch 43 train AUC 0.901 (cont: 0.310, recon: 0.000)
Epoch 43 valid AUC 0.784 (cont: 0.644, recon: 0.000)
Epoch 43 test AUC 0.780 (cont: 1.394, recon: 0.000)
Epoch 44 train AUC 0.905 (cont: 0.309, recon: 0.000)
Epoch 44 valid AUC 0.786 (cont: 0.642, recon: 0.000)
Epoch 44 test AUC 0.782 (cont: 1.392, recon: 0.000)
Epoch 45 train AUC 0.909 (cont: 0.308, recon: 0.000)
Epoch 45 valid AUC 0.788 (cont: 0.641, recon: 0.000)
Epoch 45 test AUC 0.784 (cont: 1.391, recon: 0.000)
Epoch 46 train AUC 0.912 (cont: 0.307, recon: 0.000)
Epoch 46 valid AUC 0.790 (cont: 0.640, recon: 0.000)
Epoch 46 test AUC 0.786 (cont: 1.389, recon: 0.000)
Epoch 47 train AUC 0.916 (cont: 0.306, recon: 0.000)
Epoch 47 valid AUC 0.791 (cont: 0.639, recon: 0.000)
Epoch 47 test AUC 0.788 (cont: 1.387, recon: 0.000)
Epoch 48 train AUC 0.919 (cont: 0.305, recon: 0.000)
Epoch 48 valid AUC 0.793 (cont: 0.638, recon: 0.000)
Epoch 48 test AUC 0.790 (cont: 1.386, recon: 0.000)
Epoch 49 train AUC 0.922 (cont: 0.304, recon: 0.000)
Epoch 49 valid AUC 0.795 (cont: 0.637, recon: 0.000)
Epoch 49 test AUC 0.792 (cont: 1.384, recon: 0.000)
Epoch 50 train AUC 0.925 (cont: 0.303, recon: 0.000)
Epoch 50 valid AUC 0.796 (cont: 0.636, recon: 0.000)
Epoch 50 test AUC 0.794 (cont: 1.383, recon: 0.000)
Epoch 51 train AUC 0.928 (cont: 0.302, recon: 0.000)
Epoch 51 valid AUC 0.798 (cont: 0.635, recon: 0.000)
Epoch 51 test AUC 0.796 (cont: 1.381, recon: 0.000)
Epoch 52 train AUC 0.931 (cont: 0.300, recon: 0.000)
Epoch 52 valid AUC 0.800 (cont: 0.634, recon: 0.000)
Epoch 52 test AUC 0.798 (cont: 1.379, recon: 0.000)
Epoch 53 train AUC 0.933 (cont: 0.299, recon: 0.000)
Epoch 53 valid AUC 0.801 (cont: 0.633, recon: 0.000)
Epoch 53 test AUC 0.799 (cont: 1.378, recon: 0.000)
Epoch 54 train AUC 0.936 (cont: 0.298, recon: 0.000)
Epoch 54 valid AUC 0.802 (cont: 0.631, recon: 0.000)
Epoch 54 test AUC 0.801 (cont: 1.376, recon: 0.000)
Epoch 55 train AUC 0.938 (cont: 0.297, recon: 0.000)
Epoch 55 valid AUC 0.804 (cont: 0.630, recon: 0.000)
Epoch 55 test AUC 0.803 (cont: 1.375, recon: 0.000)
Epoch 56 train AUC 0.940 (cont: 0.296, recon: 0.000)
Epoch 56 valid AUC 0.805 (cont: 0.629, recon: 0.000)
Epoch 56 test AUC 0.804 (cont: 1.373, recon: 0.000)
Epoch 57 train AUC 0.943 (cont: 0.295, recon: 0.000)
Epoch 57 valid AUC 0.806 (cont: 0.628, recon: 0.000)
Epoch 57 test AUC 0.806 (cont: 1.371, recon: 0.000)
Epoch 58 train AUC 0.945 (cont: 0.294, recon: 0.000)
Epoch 58 valid AUC 0.808 (cont: 0.627, recon: 0.000)
Epoch 58 test AUC 0.807 (cont: 1.370, recon: 0.000)
Epoch 59 train AUC 0.947 (cont: 0.293, recon: 0.000)
Epoch 59 valid AUC 0.809 (cont: 0.626, recon: 0.000)
Epoch 59 test AUC 0.808 (cont: 1.368, recon: 0.000)
Epoch 60 train AUC 0.949 (cont: 0.291, recon: 0.000)
Epoch 60 valid AUC 0.810 (cont: 0.625, recon: 0.000)
Epoch 60 test AUC 0.810 (cont: 1.367, recon: 0.000)
Epoch 61 train AUC 0.951 (cont: 0.290, recon: 0.000)
Epoch 61 valid AUC 0.811 (cont: 0.624, recon: 0.000)
Epoch 61 test AUC 0.811 (cont: 1.365, recon: 0.000)
Epoch 62 train AUC 0.952 (cont: 0.289, recon: 0.000)
Epoch 62 valid AUC 0.812 (cont: 0.623, recon: 0.000)
Epoch 62 test AUC 0.812 (cont: 1.364, recon: 0.000)
Epoch 63 train AUC 0.954 (cont: 0.288, recon: 0.000)
Epoch 63 valid AUC 0.813 (cont: 0.622, recon: 0.000)
Epoch 63 test AUC 0.813 (cont: 1.362, recon: 0.000)
Epoch 64 train AUC 0.956 (cont: 0.287, recon: 0.000)
Epoch 64 valid AUC 0.814 (cont: 0.621, recon: 0.000)
Epoch 64 test AUC 0.815 (cont: 1.360, recon: 0.000)
Epoch 65 train AUC 0.957 (cont: 0.286, recon: 0.000)
Epoch 65 valid AUC 0.815 (cont: 0.619, recon: 0.000)
Epoch 65 test AUC 0.816 (cont: 1.359, recon: 0.000)
Epoch 66 train AUC 0.959 (cont: 0.285, recon: 0.000)
Epoch 66 valid AUC 0.816 (cont: 0.618, recon: 0.000)
Epoch 66 test AUC 0.817 (cont: 1.357, recon: 0.000)
Epoch 67 train AUC 0.960 (cont: 0.283, recon: 0.000)
Epoch 67 valid AUC 0.817 (cont: 0.617, recon: 0.000)
Epoch 67 test AUC 0.818 (cont: 1.356, recon: 0.000)
Epoch 68 train AUC 0.962 (cont: 0.282, recon: 0.000)
Epoch 68 valid AUC 0.818 (cont: 0.616, recon: 0.000)
Epoch 68 test AUC 0.819 (cont: 1.354, recon: 0.000)
Epoch 69 train AUC 0.963 (cont: 0.281, recon: 0.000)
Epoch 69 valid AUC 0.819 (cont: 0.615, recon: 0.000)
Epoch 69 test AUC 0.820 (cont: 1.353, recon: 0.000)
Epoch 70 train AUC 0.964 (cont: 0.280, recon: 0.000)
Epoch 70 valid AUC 0.819 (cont: 0.614, recon: 0.000)
Epoch 70 test AUC 0.821 (cont: 1.351, recon: 0.000)
Epoch 71 train AUC 0.965 (cont: 0.279, recon: 0.000)
Epoch 71 valid AUC 0.820 (cont: 0.613, recon: 0.000)
Epoch 71 test AUC 0.822 (cont: 1.349, recon: 0.000)
Epoch 72 train AUC 0.967 (cont: 0.278, recon: 0.000)
Epoch 72 valid AUC 0.821 (cont: 0.612, recon: 0.000)
Epoch 72 test AUC 0.823 (cont: 1.348, recon: 0.000)
Epoch 73 train AUC 0.968 (cont: 0.277, recon: 0.000)
Epoch 73 valid AUC 0.822 (cont: 0.611, recon: 0.000)
Epoch 73 test AUC 0.824 (cont: 1.346, recon: 0.000)
Epoch 74 train AUC 0.969 (cont: 0.276, recon: 0.000)
Epoch 74 valid AUC 0.822 (cont: 0.610, recon: 0.000)
Epoch 74 test AUC 0.825 (cont: 1.345, recon: 0.000)
Epoch 75 train AUC 0.970 (cont: 0.274, recon: 0.000)
Epoch 75 valid AUC 0.823 (cont: 0.609, recon: 0.000)
Epoch 75 test AUC 0.826 (cont: 1.343, recon: 0.000)
Epoch 76 train AUC 0.971 (cont: 0.273, recon: 0.000)
Epoch 76 valid AUC 0.824 (cont: 0.608, recon: 0.000)
Epoch 76 test AUC 0.826 (cont: 1.342, recon: 0.000)
Epoch 77 train AUC 0.972 (cont: 0.272, recon: 0.000)
Epoch 77 valid AUC 0.824 (cont: 0.607, recon: 0.000)
Epoch 77 test AUC 0.827 (cont: 1.340, recon: 0.000)
Epoch 78 train AUC 0.973 (cont: 0.271, recon: 0.000)
Epoch 78 valid AUC 0.825 (cont: 0.606, recon: 0.000)
Epoch 78 test AUC 0.828 (cont: 1.339, recon: 0.000)
Epoch 79 train AUC 0.973 (cont: 0.270, recon: 0.000)
Epoch 79 valid AUC 0.825 (cont: 0.605, recon: 0.000)
Epoch 79 test AUC 0.829 (cont: 1.337, recon: 0.000)
Epoch 80 train AUC 0.974 (cont: 0.269, recon: 0.000)
Epoch 80 valid AUC 0.826 (cont: 0.604, recon: 0.000)
Epoch 80 test AUC 0.829 (cont: 1.336, recon: 0.000)
Epoch 81 train AUC 0.975 (cont: 0.268, recon: 0.000)
Epoch 81 valid AUC 0.827 (cont: 0.603, recon: 0.000)
Epoch 81 test AUC 0.830 (cont: 1.334, recon: 0.000)
Epoch 82 train AUC 0.976 (cont: 0.267, recon: 0.000)
Epoch 82 valid AUC 0.827 (cont: 0.602, recon: 0.000)
Epoch 82 test AUC 0.831 (cont: 1.332, recon: 0.000)
Epoch 83 train AUC 0.977 (cont: 0.266, recon: 0.000)
Epoch 83 valid AUC 0.828 (cont: 0.601, recon: 0.000)
Epoch 83 test AUC 0.832 (cont: 1.331, recon: 0.000)
Epoch 84 train AUC 0.977 (cont: 0.264, recon: 0.000)
Epoch 84 valid AUC 0.828 (cont: 0.600, recon: 0.000)
Epoch 84 test AUC 0.832 (cont: 1.329, recon: 0.000)
Epoch 85 train AUC 0.978 (cont: 0.263, recon: 0.000)
Epoch 85 valid AUC 0.829 (cont: 0.599, recon: 0.000)
Epoch 85 test AUC 0.833 (cont: 1.328, recon: 0.000)
Epoch 86 train AUC 0.979 (cont: 0.262, recon: 0.000)
Epoch 86 valid AUC 0.829 (cont: 0.598, recon: 0.000)
Epoch 86 test AUC 0.834 (cont: 1.327, recon: 0.000)
Epoch 87 train AUC 0.979 (cont: 0.261, recon: 0.000)
Epoch 87 valid AUC 0.829 (cont: 0.597, recon: 0.000)
Epoch 87 test AUC 0.834 (cont: 1.325, recon: 0.000)
Epoch 88 train AUC 0.980 (cont: 0.260, recon: 0.000)
Epoch 88 valid AUC 0.830 (cont: 0.596, recon: 0.000)
Epoch 88 test AUC 0.835 (cont: 1.324, recon: 0.000)
Epoch 89 train AUC 0.980 (cont: 0.259, recon: 0.000)
Epoch 89 valid AUC 0.830 (cont: 0.595, recon: 0.000)
Epoch 89 test AUC 0.835 (cont: 1.322, recon: 0.000)
Epoch 90 train AUC 0.981 (cont: 0.258, recon: 0.000)
Epoch 90 valid AUC 0.831 (cont: 0.594, recon: 0.000)
Epoch 90 test AUC 0.836 (cont: 1.321, recon: 0.000)
Epoch 91 train AUC 0.981 (cont: 0.257, recon: 0.000)
Epoch 91 valid AUC 0.831 (cont: 0.593, recon: 0.000)
Epoch 91 test AUC 0.836 (cont: 1.319, recon: 0.000)
Epoch 92 train AUC 0.982 (cont: 0.256, recon: 0.000)
Epoch 92 valid AUC 0.831 (cont: 0.592, recon: 0.000)
Epoch 92 test AUC 0.837 (cont: 1.318, recon: 0.000)
Epoch 93 train AUC 0.982 (cont: 0.255, recon: 0.000)
Epoch 93 valid AUC 0.832 (cont: 0.591, recon: 0.000)
Epoch 93 test AUC 0.838 (cont: 1.316, recon: 0.000)
Epoch 94 train AUC 0.983 (cont: 0.254, recon: 0.000)
Epoch 94 valid AUC 0.832 (cont: 0.590, recon: 0.000)
Epoch 94 test AUC 0.838 (cont: 1.315, recon: 0.000)
Epoch 95 train AUC 0.983 (cont: 0.253, recon: 0.000)
Epoch 95 valid AUC 0.833 (cont: 0.589, recon: 0.000)
Epoch 95 test AUC 0.839 (cont: 1.313, recon: 0.000)
Epoch 96 train AUC 0.984 (cont: 0.252, recon: 0.000)
Epoch 96 valid AUC 0.833 (cont: 0.588, recon: 0.000)
Epoch 96 test AUC 0.839 (cont: 1.312, recon: 0.000)
Epoch 97 train AUC 0.984 (cont: 0.250, recon: 0.000)
Epoch 97 valid AUC 0.833 (cont: 0.587, recon: 0.000)
Epoch 97 test AUC 0.839 (cont: 1.311, recon: 0.000)
Epoch 98 train AUC 0.984 (cont: 0.249, recon: 0.000)
Epoch 98 valid AUC 0.833 (cont: 0.586, recon: 0.000)
Epoch 98 test AUC 0.840 (cont: 1.309, recon: 0.000)
Epoch 99 train AUC 0.985 (cont: 0.248, recon: 0.000)
Epoch 99 valid AUC 0.834 (cont: 0.585, recon: 0.000)
Epoch 99 test AUC 0.840 (cont: 1.308, recon: 0.000)
Epoch 100 train AUC 0.985 (cont: 0.247, recon: 0.000)
Epoch 100 valid AUC 0.834 (cont: 0.584, recon: 0.000)
Epoch 100 test AUC 0.841 (cont: 1.307, recon: 0.000)
Epoch 101 train AUC 0.986 (cont: 0.246, recon: 0.000)
Epoch 101 valid AUC 0.834 (cont: 0.583, recon: 0.000)
Epoch 101 test AUC 0.841 (cont: 1.305, recon: 0.000)
Epoch 102 train AUC 0.986 (cont: 0.245, recon: 0.000)
Epoch 102 valid AUC 0.835 (cont: 0.582, recon: 0.000)
Epoch 102 test AUC 0.842 (cont: 1.304, recon: 0.000)
Epoch 103 train AUC 0.986 (cont: 0.244, recon: 0.000)
Epoch 103 valid AUC 0.835 (cont: 0.581, recon: 0.000)
Epoch 103 test AUC 0.842 (cont: 1.302, recon: 0.000)
Epoch 104 train AUC 0.986 (cont: 0.243, recon: 0.000)
Epoch 104 valid AUC 0.835 (cont: 0.580, recon: 0.000)
Epoch 104 test AUC 0.842 (cont: 1.301, recon: 0.000)
Epoch 105 train AUC 0.987 (cont: 0.242, recon: 0.000)
Epoch 105 valid AUC 0.835 (cont: 0.580, recon: 0.000)
Epoch 105 test AUC 0.843 (cont: 1.300, recon: 0.000)
Epoch 106 train AUC 0.987 (cont: 0.241, recon: 0.000)
Epoch 106 valid AUC 0.836 (cont: 0.579, recon: 0.000)
Epoch 106 test AUC 0.843 (cont: 1.298, recon: 0.000)
Epoch 107 train AUC 0.987 (cont: 0.240, recon: 0.000)
Epoch 107 valid AUC 0.836 (cont: 0.578, recon: 0.000)
