name,m_fuse,p_fuse,m_model,p_model,epoch,part,auc,accuracy,precision,recall,aupr
ProtBertT5-xl_chemberta,True,True,True,True,137,test,0.9138844203940482,0.8281280310378274,0.6614007372301212,0.837891927951968,0.8313196478523444
ProtBertT5-xl_chemberta,True,True,False,False,170,test,0.9060122868199514,0.8064015518913676,0.6237037037037036,0.8425617078052035,0.8220527734683682
ProtBertT5-xl_roberta,True,True,True,True,125,test,0.9123597898234126,0.8209505334626576,0.6489141675284384,0.8372248165443629,0.8317835155598455
ESM2_pebchem10m,True,True,True,True,134,test,0.8967438905294998,0.8077594568380213,0.6281533804238143,0.8305537024683122,0.8004170592278378
ProtBertT5-xl_chemberta,False,False,True,True,142,test,0.905174200743603,0.8354995150339476,0.7012987012987013,0.7565043362241495,0.8173608878795557
ProtBertT5-xl_pebchem10m,True,True,True,True,158,test,0.9113336681055058,0.8306498545101842,0.6656084656084656,0.8392261507671781,0.8312637158468641
ProtBert-BFD_chemberta,True,True,True,True,249,test,0.9139951798646215,0.8463627546071775,0.7078189300411523,0.8032021347565044,0.8356035085305119
ESM3_chemberta,True,True,True,True,158,test,0.9043966035708707,0.8044616876818622,0.6196977084349098,0.847898599066044,0.8130256821082761
ESM-1B_chemberta,True,True,True,True,195,test,0.9173756245958284,0.8347235693501455,0.6723494938732019,0.8418945963975984,0.8393193810364662
ProtBertT5-xl_roberta,True,True,False,False,248,test,0.9128201623839671,0.8071774975751698,0.6197249881460408,0.8719146097398266,0.8274297043331954
ESM2_pebchem10m,True,True,False,False,248,test,0.9043374831944856,0.8056256062075655,0.6197590361445783,0.8579052701801201,0.8181863836960611
ProtBertT5-xl_chemberta,True,True,False,True,238,test,0.9160123890033179,0.8335596508244423,0.6705694518360831,0.8405603735823882,0.8358474585839889
ProtBert-BFD_chemberta,True,True,False,False,196,test,0.8941582864141375,0.8122211445198836,0.6395165528113504,0.8118745830553702,0.7945810768603316
ProtBertT5-xl_pebchem10m,True,True,False,False,245,test,0.9145352919451771,0.8254122211445198,0.6531969309462916,0.8519012675116745,0.8318244355458932
ESM-1B_chemberta,True,True,False,False,143,test,0.9123357949792933,0.8197866149369544,0.6458546571136131,0.8418945963975984,0.8352149330393566
ESM3_chemberta,True,True,False,False,180,test,0.8990076170400982,0.8027158098933075,0.6169902912621359,0.847898599066044,0.8031515278510579
ProtBertT5-xl_roberta,False,False,True,True,151,test,0.9099262747010041,0.8306498545101842,0.6760404949381328,0.8018679119412941,0.8291401116363426
ProtBert-BFD_pebchem10m,True,True,True,True,225,test,0.9161751525086747,0.8277400581959263,0.6564260112647209,0.8552368245496998,0.8325605476044073
ProtBert-BFD_roberta,True,True,True,True,182,test,0.9156696185494924,0.8300678952473327,0.6636889122438255,0.8425617078052035,0.8321677245125689
ProtBertT5-xl_chemberta,True,True,True,False,180,test,0.9074105567095789,0.8252182347235694,0.6595517609391676,0.8245496997998666,0.819603079382642
ESM2_pebchem10m,False,False,True,True,232,test,0.8933561469863935,0.8081474296799224,0.6325363825363826,0.8118745830553702,0.8027929959764197
ESM-1B_pebchem10m,True,True,True,True,190,test,0.9156555683365862,0.8353055286129971,0.6717758985200846,0.847898599066044,0.8322286482378842
ProtBert-BFD_chemberta,False,False,True,True,185,test,0.907482450006788,0.8131910766246363,0.6338661338661339,0.8465643762508339,0.8210992995209164
ProtBertT5-xl_pebchem10m,False,False,True,True,194,test,0.9141879597339145,0.8300678952473327,0.6608156943727413,0.8539026017344896,0.832808481281447
ESM3_chemberta,False,False,True,True,182,test,0.9031064473325032,0.8256062075654704,0.6625135427952329,0.8158772515010007,0.8106291949584223
ProtBertT5-xl_roberta,True,True,False,True,189,test,0.9170063959488675,0.8310378273520853,0.6637122002085506,0.8492328218812542,0.8388298191631709
ESM-1B_chemberta,False,False,True,True,243,test,0.8907173527793145,0.7782735208535403,0.5805429864253394,0.8559039359573049,0.7946221123325841
ESM3_roberta,True,True,True,True,78,test,0.8924647795831795,0.8005819592628516,0.6160670280926565,0.8338892595063375,0.7930456632988002
ProtBert-BFD_pebchem10m,True,True,False,False,245,test,0.8986027154499788,0.8060135790494666,0.6240676280457483,0.8372248165443629,0.8000605312732294
ProtBert-BFD_roberta,True,True,False,False,209,test,0.8996032913262378,0.7976721629485936,0.6065420560747663,0.8659106070713809,0.804789332868489
ESM-1B_pebchem10m,True,True,False,False,165,test,0.9143581132863192,0.8205625606207565,0.6436436436436437,0.8579052701801201,0.8355430400065839
ProtBertT5-xl_roberta,True,True,True,False,104,test,0.8995077681255046,0.8015518913676043,0.6178217821782178,0.8325550366911274,0.8046146681132111
ESM3_chemberta,True,True,False,True,123,test,0.8986473294377141,0.7935984481086324,0.6017781937295273,0.8579052701801201,0.8031438136709238
ProtBertT5-xl_pebchem10m,True,True,False,True,166,test,0.9161371986867977,0.8226964112512124,0.6457399103139013,0.8645763842561708,0.8358090029823948
