name,pretrained_method,protein_emd,mol_emd,auc
rrf-ProtBertT5-xl-chemberta,1,ProtBertT5-xl,chemberta,0.8156587481498718
rrf-ProtBert-BFD-pebchem10m,2,ProtBert-BFD,pebchem10m,0.8408613801002502
rrf-ESM2-roberta,1,ESM2,roberta,0.7576179504394531
rrf-ESM2-chemberta,2,ESM2,chemberta,0.8247676491737366
rrf-ProtBertT5-xl-roberta,1,ProtBertT5-xl,roberta,0.8236813545227051
rrf-ESM2-pebchem10m,2,ESM2,pebchem10m,0.8137677311897278
rrf-ProtBertT5-xl-chemberta,2,ProtBertT5-xl,chemberta,0.8516624569892883
rrf-ESM-1B-pebchem10m,2,ESM-1B,pebchem10m,0.8320029973983765
rrf-ProtBert-BFD-chemberta,2,ProtBert-BFD,chemberta,0.8449862599372864
rrf-ProtBertT5-xl-pebchem10m,1,ProtBertT5-xl,pebchem10m,0.8151968717575073
rrf-ProtBert-BFD-pebchem10m,1,ProtBert-BFD,pebchem10m,0.819150447845459
rrf-ESM2-roberta,2,ESM2,roberta,0.816260814666748
rrf-ProtBert-BFD-roberta,1,ProtBert-BFD,roberta,0.8044223189353943
rrf-ESM-1B-chemberta,2,ESM-1B,chemberta,0.8192617297172546
rrf-ProtBertT5-xl-roberta,2,ProtBertT5-xl,roberta,0.8755744695663452
rrf-ESM2-pebchem10m,1,ESM2,pebchem10m,0.7172524929046631
rrf-ESM2-chemberta,1,ESM2,chemberta,0.7778937816619873
rrf-ProtBertT5-xl-chemberta,1,ProtBertT5-xl,chemberta,0.8217743635177612
rrf-ESM-1B-pebchem10m,1,ESM-1B,pebchem10m,0.7059553861618042
rrf-ProtBert-BFD-pebchem10m,2,ProtBert-BFD,pebchem10m,0.826167106628418
rrf-ESM-1B-roberta,1,ESM-1B,roberta,0.7185396552085876
rrf-ProtBertT5-xl-roberta,1,ProtBertT5-xl,roberta,0.7954878807067871
rrf-ESM2-roberta,1,ESM2,roberta,0.75077885389328
rrf-ProtBertT5-xl-chemberta,2,ProtBertT5-xl,chemberta,0.856492280960083
rrf-ESM2-pebchem10m,2,ESM2,pebchem10m,0.8207718133926392
rrf-ESM-1B-pebchem10m,2,ESM-1B,pebchem10m,0.8364320397377014
rrf-ESM2-chemberta,2,ESM2,chemberta,0.8222630620002747
rrf-ProtBert-BFD-chemberta,1,ProtBert-BFD,chemberta,0.8179340958595276
rrf-ProtBertT5-xl-roberta,2,ProtBertT5-xl,roberta,0.8682386875152588
rrf-ProtBertT5-xl-pebchem10m,2,ProtBertT5-xl,pebchem10m,0.8628771901130676
