name,m_fuse,p_fuse,m_model,p_model,epoch,part,auc,accuracy,precision,recall,aupr
ESM2_roberta,True,True,False,True,162,test,0.9113583769352772,0.8287072534887288,0.7998867817718652,0.8733003708281829,0.9128608000984241
ProtBertT5-xl_roberta,True,False,True,True,125,test,0.9202278213326861,0.8471093390584267,0.8262897114543865,0.8760815822002472,0.9222402412313198
ProtBertT5-xl_chemberta,False,True,True,True,110,test,0.9114314701615953,0.8336144763073148,0.8283969465648855,0.838380716934487,0.9116831893996733
ProtBert-BFD_roberta,True,True,False,True,203,test,0.9211324558383331,0.8455758319276184,0.8314005352363961,0.8640296662546354,0.9228463390807714
ProtBert-BFD_chemberta,True,True,True,False,189,test,0.8982484906295799,0.8155190921637786,0.8209662140827282,0.8034610630407911,0.9023060890181837
ProtBert-BFD_pebchem10m,False,True,True,True,144,test,0.9179816862428576,0.8399018555436283,0.8258026159334126,0.8584672435105068,0.9172299171431499
ESM3_pebchem10m,True,True,False,False,245,test,0.9095935094720168,0.8297807084802944,0.8194110576923077,0.842707045735476,0.9120677091723328
ESM3_chemberta,True,True,False,True,156,test,0.899681616442119,0.8219598221131729,0.8127826349110642,0.8331273176761433,0.8970366814644785
ProtBertT5-xl_pebchem10m,True,False,True,True,144,test,0.9180195968866238,0.8443490262229719,0.8415872039372501,0.8454882571075402,0.9188266300520425
ESM2_chemberta,False,False,True,True,188,test,0.8977890474927237,0.8138322343198896,0.8061780738946094,0.8226205191594561,0.899283230962237
ESM-1B_roberta,True,True,True,False,157,test,0.9207318541597289,0.8486428461892348,0.840654347167525,0.857540173053152,0.9199769295822363
ESM-1B_pebchem10m,False,False,True,True,181,test,0.8998453941860312,0.820119613556203,0.8151542926978307,0.8244746600741656,0.9023630119588686
ESM3_roberta,True,True,True,True,121,test,0.9117643406652332,0.8346879312988805,0.8285627283800243,0.8408529048207664,0.9136887348190025
ProtBertT5-xl_roberta,True,True,True,True,119,test,0.9165066088497945,0.8439350235311978,0.8393875712999099,0.8501064153238066,0.9145508215974046
ESM2_roberta,True,True,True,False,168,test,0.9028467318767368,0.821806471400092,0.8123493975903614,0.8334363411619283,0.9085742016114271
ProtBertT5-xl_chemberta,True,False,True,True,145,test,0.9119097745492585,0.8360680877166079,0.8312442678080098,0.8402348578491965,0.9113643078568063
ProtBert-BFD_pebchem10m,True,False,True,True,82,test,0.9127432913211907,0.8362214384296887,0.8249400479616307,0.8504326328800988,0.9157666885527129
ProtBert-BFD_roberta,True,True,True,False,129,test,0.8962950576937911,0.8145989878852936,0.804080408040804,0.8281829419035847,0.8981906695737348
ProtBert-BFD_chemberta,False,True,True,True,144,test,0.9119507895385437,0.8319276184634259,0.8160070880094507,0.853831891223733,0.9137299762003623
ProtBertT5-xl_pebchem10m,True,True,True,True,129,test,0.9193700411961809,0.8460604220434188,0.8325051154633148,0.8659166920036485,0.9182859392733709
ESM-1B_roberta,False,True,True,True,133,test,0.917301881609669,0.8425088176660022,0.8372519083969465,0.8473423980222496,0.9172694895133499
ESM3_chemberta,True,True,True,False,163,test,0.8999399826532934,0.819352859990799,0.8080838323353293,0.8340543881334982,0.9000204444575032
ESM3_pebchem10m,False,False,True,True,185,test,0.9082599108582481,0.8354546848642846,0.8341056533827618,0.8343634116192831,0.9077719652909753
ESM2_pebchem10m,True,True,True,True,155,test,0.9044529014342076,0.8227265756785769,0.806965761511216,0.8448702101359703,0.9055727600646641
ProtBert-BFD_pebchem10m,True,True,True,True,97,test,0.9103546544419802,0.8311826324578716,0.8181818181818182,0.8510185466707206,0.9129439105687385
ProtBertT5-xl_chemberta,True,True,True,True,103,test,0.9131108233133176,0.839380598147867,0.819352991697681,0.8701733049559136,0.9126675084711042
ProtBert-BFD_roberta,False,True,True,True,109,test,0.9146928203073115,0.8346879312988805,0.8489650711513583,0.8111866501854141,0.915069795502103
ESM2_chemberta,True,True,False,True,248,test,0.9040930795671978,0.8236466799570618,0.8007497116493656,0.8581582200247219,0.9059939602691979
ESM2_roberta,False,True,True,True,165,test,0.9053801129981769,0.8250268363747891,0.8076358296622613,0.8498145859085291,0.9080252155030645
ESM-1B_pebchem10m,True,True,False,True,221,test,0.9224634674975024,0.8491028983284772,0.8365212193664077,0.8649567367119901,0.9222112290876602
ESM-1B_roberta,True,False,True,True,91,test,0.8836650749840549,0.7961969023155958,0.7954756740006198,0.7932632880098888,0.8892328964727003
ProtBertT5-xl_roberta,True,True,False,False,241,test,0.9223349751205896,0.8433277668134204,0.8206876953680022,0.8780784432958346,0.9223660519635334
ESM3_roberta,True,True,False,False,237,test,0.902923964230414,0.8188928078515565,0.8125950714937633,0.8254017305315204,0.9052696223640656
ProtBert-BFD_chemberta,True,False,True,True,134,test,0.9098038053631802,0.8294740070541328,0.8027366020524516,0.8702101359703337,0.908867696234468
ProtBert-BFD_roberta,True,False,True,True,101,test,0.9134307627471012,0.8391351019782242,0.8485814472425884,0.8226205191594561,0.9125913951811391
ProtBertT5-xl_pebchem10m,True,True,False,False,204,test,0.9145128541930292,0.8314862608167602,0.8025548458761456,0.8786865308604439,0.9166069539309438
ESM3_pebchem10m,True,True,False,True,154,test,0.9049002564377542,0.8216531206870112,0.7857733664185277,0.880716934487021,0.9031248094718036
ESM3_chemberta,False,True,True,True,189,test,0.9093778985650398,0.8331544241680724,0.8385876418663304,0.8220024721878862,0.9088541906301636
ESM2_roberta,True,False,True,True,124,test,0.8978773331978709,0.8179727035730716,0.8151338049830821,0.818912237330037,0.9007408619838575
ProtBertT5-xl_roberta,False,False,True,True,115,test,0.9091092549710422,0.8320935175345378,0.8164685416062627,0.8561872909698997,0.9080483041442162
ProtBert-BFD_chemberta,True,True,True,True,105,test,0.9057786480137312,0.8275390921512069,0.8241493526046372,0.8321678321678322,0.905358307221697
ESM2_pebchem10m,True,True,False,False,246,test,0.8962099704052394,0.8113786229105965,0.7946533490011751,0.8359085290482077,0.8993800841904103
ESM-1B_pebchem10m,True,True,True,False,171,test,0.9175768984013563,0.845115779788376,0.843094944512947,0.8451792336217553,0.9176751384936853
ProtBert-BFD_pebchem10m,True,True,False,False,246,test,0.9066878753645435,0.8238955518445423,0.8013020096235494,0.8607479477044695,0.9092759118825369
ESM3_roberta,False,False,True,True,166,test,0.9083777819169052,0.831774267750345,0.8167012140953509,0.8522867737948084,0.9108070267464595
ProtBertT5-xl_chemberta,True,True,False,False,236,test,0.9118580947093616,0.8311826324578716,0.813960196134987,0.8580115536637276,0.9136467257371653
ProtBert-BFD_roberta,True,True,True,True,117,test,0.9146733115014287,0.8340671018673144,0.8167916907097519,0.8607479477044695,0.9138491102771402
ESM2_chemberta,True,True,True,False,217,test,0.9005521972181302,0.8167458978684251,0.7909894496720844,0.8572311495673671,0.9056068309709071
ESM-1B_roberta,True,True,True,True,221,test,0.9178349796379168,0.8395324123273114,0.8223570190641247,0.8656126482213439,0.918910008505863
ProtBertT5-xl_pebchem10m,False,False,True,True,132,test,0.9081969392434233,0.8346743585850919,0.8363914373088684,0.8315597446032229,0.9080007352167908
ProtBertT5-xl_roberta,True,True,False,True,102,test,0.9176935596372937,0.837255199635646,0.8146466080045416,0.8726056552143509,0.9158822039631894
ESM3_chemberta,True,False,True,True,125,test,0.9040957605928736,0.823493329243981,0.8289681287472389,0.8118046971569839,0.9036731080248458
ESM3_pebchem10m,True,True,True,False,161,test,0.8986433069369895,0.8175126514338291,0.8157407407407408,0.8167490729295427,0.9021805961376698
ESM2_roberta,True,True,True,True,151,test,0.9020723653702797,0.8222255958706544,0.834280303030303,0.8035877166311949,0.9050749912103949
ESM-1B_pebchem10m,False,True,True,True,131,test,0.9158917561752958,0.8354546848642846,0.8286235186873291,0.842707045735476,0.9193856648330564
ESM2_pebchem10m,False,False,True,True,144,test,0.8963554983603412,0.8116853243367582,0.813162819713038,0.8056242274412856,0.8991083393221235
ProtBert-BFD_pebchem10m,False,False,True,True,132,test,0.9054704095703912,0.8278427205100957,0.8232823282328233,0.8342961386439647,0.9071593320835317
ESM3_roberta,True,True,False,True,127,test,0.9062978704189737,0.8248734856617084,0.8215601965601965,0.82663782447466,0.9075596933296384
ProtBertT5-xl_chemberta,False,False,True,True,150,test,0.902255870266786,0.8243509943828754,0.8242092457420924,0.8239586500456065,0.9030553615272314
ESM2_chemberta,False,True,True,True,144,test,0.9000666493575885,0.8162858457291826,0.7970845481049562,0.8448702101359703,0.9037888817523967
ProtBertT5-xl_pebchem10m,True,True,False,True,136,test,0.9172968184556235,0.842720510095643,0.8335801006810779,0.855883247187595,0.9166526253625918
ProtBert-BFD_chemberta,True,True,False,False,249,test,0.9002324764117154,0.8167602854106574,0.8040303738317757,0.8370325326847066,0.9031494354121361
ProtBertT5-xl_roberta,True,True,True,False,150,test,0.9088227734508748,0.8310308182784272,0.82790837854129,0.8352082699908787,0.9106635749789045
ESM3_chemberta,True,True,True,True,121,test,0.8986511352965331,0.8166084712312129,0.7920291888857705,0.8580115536637276,0.8979385519266985
ESM-1B_roberta,True,True,False,False,177,test,0.9180076060728367,0.835585243661758,0.8164084911072863,0.8653086044390392,0.9200476136661169
ProtBert-BFD_roberta,True,True,False,False,240,test,0.9042138550668095,0.8172157279489904,0.7947413061916879,0.8546670720583764,0.9050377653512713
ESM3_pebchem10m,False,True,True,True,171,test,0.917217264676499,0.8460358840668609,0.8347330533893221,0.8600123609394313,0.917115233311697
ProtBertT5-xl_chemberta,True,True,False,True,93,test,0.9055475728953727,0.8237437376650979,0.8191361727654469,0.8303435694740042,0.9060126668391336
ProtBert-BFD_pebchem10m,True,True,False,True,153,test,0.9107599232312498,0.8354334294823137,0.8179982693971733,0.8622681666159927,0.9075630892954386
ProtBertT5-xl_roberta,False,True,True,True,78,test,0.9145720403992876,0.8381660847123121,0.825475841874085,0.8570994223168136,0.9129539845519943
ESM3_roberta,True,True,True,False,152,test,0.8916381160949969,0.815212390737617,0.8184383819379115,0.8065512978986403,0.8949783603145961
ProtBertT5-xl_pebchem10m,True,True,True,False,111,test,0.9034552667518629,0.8137240018217702,0.7806205770277627,0.8719975676497416,0.906386841152908
ESM-1B_pebchem10m,True,False,True,True,198,test,0.9042377608826125,0.8268670449317589,0.8181818181818182,0.8371446229913473,0.905444456528916
ProtBert-BFD_chemberta,False,False,True,True,136,test,0.8997440519245566,0.8176711704873235,0.7994836488812392,0.8473700212830647,0.8988846915818954
ESM2_roberta,True,True,False,False,245,test,0.9102502027726802,0.8298163048428723,0.8169590643274853,0.8494983277591973,0.9114807536594404
ProtBert-BFD_roberta,False,False,True,True,103,test,0.9053877609194403,0.8219219675117656,0.7993774759479344,0.8589236850106415,0.9052726790198431
ESM2_pebchem10m,True,True,False,True,243,test,0.9016904572418736,0.8162858457291826,0.797953216374269,0.8433250927070457,0.9029050948073678
ESM-1B_roberta,False,False,True,True,153,test,0.8879873850409353,0.8046151510551085,0.798094103633115,0.8148373365764671,0.8912109271836944
ESM3_pebchem10m,True,False,True,True,116,test,0.9076727191997185,0.8288606042018095,0.8181272509003601,0.842398022249691,0.9072680872760437
ESM-1B_chemberta,True,True,True,True,203,test,0.9138878070715108,0.8394418034043858,0.8356332413370132,0.8420889987639061,0.9155308362359579
ESM2_chemberta,True,False,True,True,204,test,0.8997410693623673,0.8168992485815059,0.807715491259795,0.8281829419035847,0.9034113470325242
ProtBertT5-xl_pebchem10m,False,True,True,True,93,test,0.9191014906995608,0.8445422802489753,0.8325991189427313,0.8619641228336881,0.9196174651816326
ESM3_roberta,False,True,True,True,100,test,0.9022365398400417,0.81766600214691,0.7962373371924747,0.850123609394314,0.9030951718854474
ProtBertT5-xl_roberta,True,False,True,True,104,test,0.910641043771795,0.8354334294823137,0.8309816871810267,0.8415931894192764,0.9097935768196589
ESM3_chemberta,True,True,False,False,246,test,0.9065317970978845,0.8249582511006528,0.810826542491269,0.8470659775007601,0.905456128337484
ProtBertT5-xl_chemberta,True,True,True,False,177,test,0.9055177954115387,0.8264763928950964,0.8193452380952381,0.8370325326847066,0.9085026775966465
ESM-1B_pebchem10m,True,True,True,True,150,test,0.9125344492299432,0.8366479429178685,0.8226888305628464,0.857707509881423,0.9163707999855848
ProtBert-BFD_pebchem10m,True,True,True,False,200,test,0.896030808909497,0.8105359040534386,0.8002353633421595,0.8269990878686531,0.9008449244159231
ProtBert-BFD_chemberta,True,True,False,True,163,test,0.9049280998222387,0.8254136936389859,0.8167012140953509,0.8385527515962299,0.9034775221064661
ESM2_pebchem10m,True,True,True,False,155,test,0.8932532224047202,0.8047845422481215,0.7899556868537666,0.8263288009888752,0.8988221710472986
ProtBert-BFD_roberta,True,True,False,True,154,test,0.9084202703721779,0.8287536055867618,0.8080980895352153,0.8616600790513834,0.9070821070774537
ProtBertT5-xl_pebchem10m,True,False,True,True,104,test,0.9116196443628088,0.8384697130712009,0.8282679256417822,0.8534508969291578,0.9131830098806956
ProtBertT5-xl_roberta,True,True,True,True,103,test,0.9171425160315599,0.8418875440478014,0.8257296684613205,0.8748123686580607,0.916367272550285
ESM2_roberta,False,False,True,True,208,test,0.8978361725810773,0.8199483831789889,0.8017216642754663,0.8494983277591973,0.8970357873846904
ESM3_pebchem10m,True,True,True,True,153,test,0.9150464058577014,0.8386215272506452,0.8277385159010601,0.8546670720583764,0.9150687604291103
ESM2_chemberta,True,True,True,True,174,test,0.9033610943068585,0.8240473660239866,0.8154620853080569,0.8370325326847066,0.9068342902334732
ProtBertT5-xl_chemberta,False,True,True,True,116,test,0.9083373451501698,0.8276909063306512,0.8119930475086906,0.8522347217999392,0.909190744370194
ESM-1B_chemberta,True,True,False,False,205,test,0.9088316748602574,0.8247201349486275,0.7995991983967936,0.8631025957972805,0.9089237537700834
ESM-1B_roberta,True,True,False,True,218,test,0.9222808593837147,0.8443904660695309,0.8241695303550973,0.8750380054727881,0.922471501838378
ProtBert-BFD_pebchem10m,False,True,True,True,98,test,0.9073265701261589,0.8327007742523151,0.8288721804511279,0.8379446640316206,0.9062170089574171
ESM3_chemberta,False,False,True,True,175,test,0.8957808347688907,0.818733869743434,0.8045943588252399,0.8412891456369718,0.8941234112936669
ProtBertT5-xl_pebchem10m,True,True,True,True,93,test,0.9136747412800976,0.835912364026352,0.8183098591549296,0.8721104773341339,0.913449240707477
ESM3_roberta,True,False,True,True,241,test,0.9108605057637347,0.8336144763073148,0.8334883720930233,0.830655129789864,0.9120749568283152
ProtBert-BFD_roberta,True,True,True,False,127,test,0.8907562761809078,0.7971762562623349,0.7662939732751568,0.8543630282760718,0.8922940772868314
ESM2_pebchem10m,False,True,True,True,136,test,0.9056719685125293,0.8268670449317589,0.821875954781546,0.8312731767614339,0.9063165456947206
ProtBertT5-xl_chemberta,True,False,True,True,98,test,0.9047305358969873,0.8313344466373159,0.8296004842615012,0.8333840072970508,0.904114306760734
ESM-1B_pebchem10m,True,True,False,False,242,test,0.9201060428747829,0.843175952633976,0.8258232235701907,0.8692611736089997,0.9218249481241445
ProtBert-BFD_chemberta,True,True,True,False,208,test,0.8928433274743292,0.8102322756945499,0.7945680439179428,0.8361204013377926,0.8984932433120356
ProtBertT5-xl_roberta,True,True,False,False,244,test,0.9233758217736145,0.8458709973954344,0.8299744535906898,0.8778144701290904,0.9264440087557333
ESM-1B_roberta,True,True,True,False,156,test,0.9173651315067721,0.837255199635646,0.8184429761562769,0.8662207357859532,0.9215351608036596
ESM-1B_chemberta,False,False,True,True,164,test,0.8950509206736242,0.8116853243367582,0.7965150620200827,0.8334363411619283,0.8973124290927512
ESM2_roberta,True,True,False,True,249,test,0.9085707711225152,0.8302717473812053,0.8152773743828057,0.8534508969291578,0.9103435562419728
ProtBert-BFD_roberta,False,True,True,True,111,test,0.9087307674791526,0.8323971458934264,0.8260220829603103,0.8415931894192764,0.9057731353003926
ESM3_pebchem10m,True,True,False,False,243,test,0.9061706874874275,0.8270836496128738,0.8205128205128205,0.8367284889024019,0.9089243493295731
ProtBert-BFD_pebchem10m,True,False,True,True,169,test,0.9108448305458351,0.8331562167906482,0.8198014018691588,0.8534508969291578,0.911307824683032
ESM2_chemberta,True,True,False,False,240,test,0.899384325169386,0.8153939577956582,0.8065661047027507,0.8291273943447857,0.9035682860284273
ESM3_chemberta,True,True,False,True,174,test,0.903476424437745,0.8199483831789889,0.8022420235699914,0.8485861964122834,0.9024685417355105
ESM2_pebchem10m,True,False,True,True,153,test,0.8985405342860852,0.81766600214691,0.8165790287658522,0.8158220024721878,0.9022179877379412
