Epoch 31 train AUC 0.841 (cont: 0.304, recon: 0.101)
Epoch 31 valid AUC 0.789 (cont: 0.402, recon: 0.226)
Epoch 31 test AUC 0.727 (cont: 0.401, recon: 0.260)
Epoch 32 train AUC 0.842 (cont: 0.304, recon: 0.101)
Epoch 32 valid AUC 0.789 (cont: 0.402, recon: 0.226)
Epoch 32 test AUC 0.727 (cont: 0.401, recon: 0.260)
Epoch 33 train AUC 0.842 (cont: 0.304, recon: 0.101)
Epoch 33 valid AUC 0.790 (cont: 0.401, recon: 0.226)
Epoch 33 test AUC 0.727 (cont: 0.400, recon: 0.260)
Epoch 34 train AUC 0.842 (cont: 0.304, recon: 0.101)
Epoch 34 valid AUC 0.790 (cont: 0.400, recon: 0.226)
Epoch 34 test AUC 0.727 (cont: 0.399, recon: 0.260)
Epoch 35 train AUC 0.843 (cont: 0.303, recon: 0.101)
Epoch 35 valid AUC 0.790 (cont: 0.402, recon: 0.226)
Epoch 35 test AUC 0.727 (cont: 0.401, recon: 0.260)
Epoch 36 train AUC 0.843 (cont: 0.303, recon: 0.101)
Epoch 36 valid AUC 0.790 (cont: 0.403, recon: 0.226)
Epoch 36 test AUC 0.727 (cont: 0.403, recon: 0.260)
Epoch 37 train AUC 0.844 (cont: 0.303, recon: 0.101)
Epoch 37 valid AUC 0.791 (cont: 0.404, recon: 0.226)
Epoch 37 test AUC 0.727 (cont: 0.403, recon: 0.260)
Epoch 38 train AUC 0.844 (cont: 0.303, recon: 0.101)
Epoch 38 valid AUC 0.791 (cont: 0.404, recon: 0.226)
Epoch 38 test AUC 0.727 (cont: 0.403, recon: 0.260)
Epoch 39 train AUC 0.844 (cont: 0.303, recon: 0.101)
Epoch 39 valid AUC 0.791 (cont: 0.402, recon: 0.226)
Epoch 39 test AUC 0.727 (cont: 0.402, recon: 0.260)
Epoch 40 train AUC 0.844 (cont: 0.303, recon: 0.101)
Epoch 40 valid AUC 0.791 (cont: 0.400, recon: 0.226)
Epoch 40 test AUC 0.727 (cont: 0.400, recon: 0.260)
Epoch 41 train AUC 0.845 (cont: 0.302, recon: 0.101)
Epoch 41 valid AUC 0.791 (cont: 0.403, recon: 0.226)
Epoch 41 test AUC 0.728 (cont: 0.402, recon: 0.260)
Epoch 42 train AUC 0.845 (cont: 0.302, recon: 0.101)
Epoch 42 valid AUC 0.792 (cont: 0.405, recon: 0.226)
Epoch 42 test AUC 0.728 (cont: 0.405, recon: 0.260)
Epoch 43 train AUC 0.845 (cont: 0.302, recon: 0.101)
Epoch 43 valid AUC 0.792 (cont: 0.405, recon: 0.226)
Epoch 43 test AUC 0.728 (cont: 0.406, recon: 0.260)
Epoch 44 train AUC 0.846 (cont: 0.302, recon: 0.101)
Epoch 44 valid AUC 0.792 (cont: 0.405, recon: 0.226)
Epoch 44 test AUC 0.728 (cont: 0.405, recon: 0.260)
Epoch 45 train AUC 0.846 (cont: 0.302, recon: 0.101)
Epoch 45 valid AUC 0.792 (cont: 0.402, recon: 0.226)
Epoch 45 test AUC 0.728 (cont: 0.402, recon: 0.260)
Epoch 46 train AUC 0.846 (cont: 0.301, recon: 0.101)
Epoch 46 valid AUC 0.792 (cont: 0.400, recon: 0.226)
Epoch 46 test AUC 0.728 (cont: 0.400, recon: 0.260)
Epoch 47 train AUC 0.846 (cont: 0.301, recon: 0.101)
Epoch 47 valid AUC 0.792 (cont: 0.402, recon: 0.226)
Epoch 47 test AUC 0.728 (cont: 0.403, recon: 0.260)
Epoch 48 train AUC 0.847 (cont: 0.301, recon: 0.101)
Epoch 48 valid AUC 0.792 (cont: 0.405, recon: 0.226)
Epoch 48 test AUC 0.728 (cont: 0.406, recon: 0.260)
Epoch 49 train AUC 0.847 (cont: 0.301, recon: 0.101)
Epoch 49 valid AUC 0.793 (cont: 0.406, recon: 0.226)
Epoch 49 test AUC 0.728 (cont: 0.407, recon: 0.260)
Epoch 50 train AUC 0.847 (cont: 0.301, recon: 0.101)
Epoch 50 valid AUC 0.793 (cont: 0.405, recon: 0.226)
Epoch 50 test AUC 0.728 (cont: 0.405, recon: 0.260)
Epoch 51 train AUC 0.847 (cont: 0.301, recon: 0.101)
Epoch 51 valid AUC 0.793 (cont: 0.402, recon: 0.226)
Epoch 51 test AUC 0.728 (cont: 0.403, recon: 0.260)
Epoch 52 train AUC 0.848 (cont: 0.301, recon: 0.101)
Epoch 52 valid AUC 0.793 (cont: 0.400, recon: 0.226)
Epoch 52 test AUC 0.728 (cont: 0.400, recon: 0.260)
Epoch 53 train AUC 0.848 (cont: 0.300, recon: 0.101)
Epoch 53 valid AUC 0.793 (cont: 0.401, recon: 0.226)
Epoch 53 test AUC 0.728 (cont: 0.401, recon: 0.260)
Epoch 54 train AUC 0.848 (cont: 0.300, recon: 0.101)
Epoch 54 valid AUC 0.793 (cont: 0.404, recon: 0.226)
Epoch 54 test AUC 0.728 (cont: 0.404, recon: 0.260)
Epoch 55 train AUC 0.848 (cont: 0.300, recon: 0.101)
Epoch 55 valid AUC 0.793 (cont: 0.404, recon: 0.226)
Epoch 55 test AUC 0.728 (cont: 0.405, recon: 0.260)
Epoch 56 train AUC 0.848 (cont: 0.300, recon: 0.101)
Epoch 56 valid AUC 0.794 (cont: 0.403, recon: 0.226)
Epoch 56 test AUC 0.728 (cont: 0.403, recon: 0.260)
Epoch 57 train AUC 0.849 (cont: 0.300, recon: 0.101)
Epoch 57 valid AUC 0.794 (cont: 0.400, recon: 0.226)
Epoch 57 test AUC 0.728 (cont: 0.401, recon: 0.260)
Epoch 58 train AUC 0.849 (cont: 0.300, recon: 0.101)
Epoch 58 valid AUC 0.794 (cont: 0.402, recon: 0.226)
Epoch 58 test AUC 0.728 (cont: 0.402, recon: 0.260)
Epoch 59 train AUC 0.849 (cont: 0.300, recon: 0.101)
Epoch 59 valid AUC 0.794 (cont: 0.404, recon: 0.226)
Epoch 59 test AUC 0.728 (cont: 0.404, recon: 0.260)
Epoch 60 train AUC 0.849 (cont: 0.300, recon: 0.101)
Epoch 60 valid AUC 0.794 (cont: 0.403, recon: 0.226)
Epoch 60 test AUC 0.728 (cont: 0.403, recon: 0.260)
Epoch 61 train AUC 0.849 (cont: 0.300, recon: 0.101)
Epoch 61 valid AUC 0.794 (cont: 0.400, recon: 0.226)
Epoch 61 test AUC 0.728 (cont: 0.401, recon: 0.260)
Epoch 62 train AUC 0.850 (cont: 0.299, recon: 0.101)
Epoch 62 valid AUC 0.794 (cont: 0.402, recon: 0.226)
Epoch 62 test AUC 0.728 (cont: 0.402, recon: 0.260)
Epoch 63 train AUC 0.850 (cont: 0.299, recon: 0.101)
Epoch 63 valid AUC 0.794 (cont: 0.403, recon: 0.226)
Epoch 63 test AUC 0.728 (cont: 0.404, recon: 0.260)
Epoch 64 train AUC 0.850 (cont: 0.299, recon: 0.101)
Epoch 64 valid AUC 0.794 (cont: 0.402, recon: 0.226)
Epoch 64 test AUC 0.728 (cont: 0.403, recon: 0.260)
Epoch 65 train AUC 0.850 (cont: 0.299, recon: 0.101)
Epoch 65 valid AUC 0.794 (cont: 0.400, recon: 0.226)
Epoch 65 test AUC 0.728 (cont: 0.401, recon: 0.260)
Epoch 66 train AUC 0.850 (cont: 0.299, recon: 0.101)
Epoch 66 valid AUC 0.795 (cont: 0.401, recon: 0.226)
Epoch 66 test AUC 0.728 (cont: 0.401, recon: 0.260)
Epoch 67 train AUC 0.850 (cont: 0.299, recon: 0.101)
Epoch 67 valid AUC 0.795 (cont: 0.402, recon: 0.226)
Epoch 67 test AUC 0.728 (cont: 0.403, recon: 0.260)
Epoch 68 train AUC 0.851 (cont: 0.299, recon: 0.101)
Epoch 68 valid AUC 0.795 (cont: 0.402, recon: 0.226)
Epoch 68 test AUC 0.728 (cont: 0.403, recon: 0.260)
Epoch 69 train AUC 0.851 (cont: 0.299, recon: 0.101)
Epoch 69 valid AUC 0.795 (cont: 0.401, recon: 0.226)
Epoch 69 test AUC 0.728 (cont: 0.401, recon: 0.260)
Epoch 70 train AUC 0.851 (cont: 0.298, recon: 0.101)
Epoch 70 valid AUC 0.795 (cont: 0.400, recon: 0.226)
Epoch 70 test AUC 0.728 (cont: 0.401, recon: 0.260)
Epoch 71 train AUC 0.851 (cont: 0.298, recon: 0.101)
Epoch 71 valid AUC 0.795 (cont: 0.402, recon: 0.226)
Epoch 71 test AUC 0.728 (cont: 0.402, recon: 0.260)
Epoch 72 train AUC 0.851 (cont: 0.298, recon: 0.101)
Epoch 72 valid AUC 0.795 (cont: 0.402, recon: 0.226)
Epoch 72 test AUC 0.728 (cont: 0.403, recon: 0.260)
Epoch 73 train AUC 0.851 (cont: 0.298, recon: 0.101)
Epoch 73 valid AUC 0.795 (cont: 0.401, recon: 0.226)
Epoch 73 test AUC 0.728 (cont: 0.402, recon: 0.260)
Epoch 74 train AUC 0.852 (cont: 0.298, recon: 0.101)
Epoch 74 valid AUC 0.795 (cont: 0.400, recon: 0.226)
Epoch 74 test AUC 0.728 (cont: 0.401, recon: 0.260)
Epoch 75 train AUC 0.852 (cont: 0.298, recon: 0.101)
Epoch 75 valid AUC 0.795 (cont: 0.401, recon: 0.226)
Epoch 75 test AUC 0.728 (cont: 0.402, recon: 0.260)
Epoch 76 train AUC 0.852 (cont: 0.298, recon: 0.101)
Epoch 76 valid AUC 0.795 (cont: 0.402, recon: 0.226)
Epoch 76 test AUC 0.728 (cont: 0.402, recon: 0.260)
Epoch 77 train AUC 0.852 (cont: 0.298, recon: 0.101)
Epoch 77 valid AUC 0.795 (cont: 0.401, recon: 0.226)
Epoch 77 test AUC 0.728 (cont: 0.401, recon: 0.260)
Epoch 78 train AUC 0.852 (cont: 0.298, recon: 0.101)
Epoch 78 valid AUC 0.795 (cont: 0.400, recon: 0.226)
Epoch 78 test AUC 0.728 (cont: 0.401, recon: 0.260)
Epoch 79 train AUC 0.852 (cont: 0.298, recon: 0.101)
Epoch 79 valid AUC 0.796 (cont: 0.401, recon: 0.226)
Epoch 79 test AUC 0.728 (cont: 0.402, recon: 0.260)
Epoch 80 train AUC 0.852 (cont: 0.298, recon: 0.101)
Epoch 80 valid AUC 0.796 (cont: 0.401, recon: 0.226)
Epoch 80 test AUC 0.728 (cont: 0.402, recon: 0.260)
Epoch 81 train AUC 0.853 (cont: 0.298, recon: 0.101)
Epoch 81 valid AUC 0.796 (cont: 0.401, recon: 0.226)
Epoch 81 test AUC 0.728 (cont: 0.401, recon: 0.260)
Epoch 82 train AUC 0.853 (cont: 0.297, recon: 0.101)
Epoch 82 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 82 test AUC 0.728 (cont: 0.400, recon: 0.260)
Epoch 83 train AUC 0.853 (cont: 0.297, recon: 0.101)
Epoch 83 valid AUC 0.796 (cont: 0.401, recon: 0.226)
Epoch 83 test AUC 0.728 (cont: 0.402, recon: 0.260)
Epoch 84 train AUC 0.853 (cont: 0.297, recon: 0.101)
Epoch 84 valid AUC 0.796 (cont: 0.401, recon: 0.226)
Epoch 84 test AUC 0.729 (cont: 0.402, recon: 0.260)
Epoch 85 train AUC 0.853 (cont: 0.297, recon: 0.101)
Epoch 85 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 85 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 86 train AUC 0.853 (cont: 0.297, recon: 0.101)
Epoch 86 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 86 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 87 train AUC 0.853 (cont: 0.297, recon: 0.101)
Epoch 87 valid AUC 0.796 (cont: 0.401, recon: 0.226)
Epoch 87 test AUC 0.729 (cont: 0.402, recon: 0.260)
Epoch 88 train AUC 0.853 (cont: 0.297, recon: 0.101)
Epoch 88 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 88 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 89 train AUC 0.854 (cont: 0.297, recon: 0.101)
Epoch 89 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 89 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 90 train AUC 0.854 (cont: 0.297, recon: 0.101)
Epoch 90 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 90 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 91 train AUC 0.854 (cont: 0.297, recon: 0.101)
Epoch 91 valid AUC 0.796 (cont: 0.401, recon: 0.226)
Epoch 91 test AUC 0.729 (cont: 0.402, recon: 0.260)
Epoch 92 train AUC 0.854 (cont: 0.297, recon: 0.101)
Epoch 92 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 92 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 93 train AUC 0.854 (cont: 0.297, recon: 0.101)
Epoch 93 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 93 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 94 train AUC 0.854 (cont: 0.296, recon: 0.101)
Epoch 94 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 94 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 95 train AUC 0.854 (cont: 0.296, recon: 0.101)
Epoch 95 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 95 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 96 train AUC 0.854 (cont: 0.296, recon: 0.101)
Epoch 96 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 96 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 97 train AUC 0.854 (cont: 0.296, recon: 0.101)
Epoch 97 valid AUC 0.796 (cont: 0.400, recon: 0.226)
Epoch 97 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 98 train AUC 0.855 (cont: 0.296, recon: 0.101)
Epoch 98 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 98 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 99 train AUC 0.855 (cont: 0.296, recon: 0.101)
Epoch 99 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 99 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 100 train AUC 0.855 (cont: 0.296, recon: 0.101)
Epoch 100 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 100 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 101 train AUC 0.855 (cont: 0.296, recon: 0.101)
Epoch 101 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 101 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 102 train AUC 0.855 (cont: 0.296, recon: 0.101)
Epoch 102 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 102 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 103 train AUC 0.855 (cont: 0.296, recon: 0.101)
Epoch 103 valid AUC 0.797 (cont: 0.399, recon: 0.226)
Epoch 103 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 104 train AUC 0.855 (cont: 0.296, recon: 0.101)
Epoch 104 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 104 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 105 train AUC 0.855 (cont: 0.296, recon: 0.101)
Epoch 105 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 105 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 106 train AUC 0.855 (cont: 0.296, recon: 0.101)
Epoch 106 valid AUC 0.797 (cont: 0.399, recon: 0.226)
Epoch 106 test AUC 0.729 (cont: 0.399, recon: 0.260)
Epoch 107 train AUC 0.855 (cont: 0.296, recon: 0.101)
Epoch 107 valid AUC 0.797 (cont: 0.401, recon: 0.226)
Epoch 107 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 108 train AUC 0.856 (cont: 0.296, recon: 0.101)
Epoch 108 valid AUC 0.797 (cont: 0.399, recon: 0.226)
Epoch 108 test AUC 0.729 (cont: 0.399, recon: 0.260)
Epoch 109 train AUC 0.856 (cont: 0.295, recon: 0.101)
Epoch 109 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 109 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 110 train AUC 0.856 (cont: 0.296, recon: 0.101)
Epoch 110 valid AUC 0.797 (cont: 0.399, recon: 0.226)
Epoch 110 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 111 train AUC 0.856 (cont: 0.295, recon: 0.101)
Epoch 111 valid AUC 0.797 (cont: 0.399, recon: 0.226)
Epoch 111 test AUC 0.729 (cont: 0.399, recon: 0.260)
Epoch 112 train AUC 0.856 (cont: 0.295, recon: 0.101)
