name,use_fuse,use_model,f1max
go-CC_ProtBertT5-xl_roberta,True,False,0.45017504692077637
go-CC_ESM2_roberta,True,False,0.3228883147239685
go-CC_ProtBert-BFD_roberta,True,True,0.407090961933136
go-CC_ProtBertT5-xl_roberta,False,True,0.42416512966156006
go-CC_ESM2_roberta,False,True,0.3273182809352875
go-CC_ProtBert-BFD_roberta,True,False,0.3881463408470154
go-CC_ESM2_roberta,True,True,0.30271726846694946
go-CC_ProtBert-BFD_roberta,False,True,0.4067324101924896
go-CC_ESM2_roberta,True,False,0.29405438899993896
go-CC_ProtBert-BFD_roberta,True,True,0.4103117883205414
go-CC_ESM2_roberta,False,True,0.31311333179473877
go-CC_ProtBert-BFD_roberta,True,False,0.3902820944786072
go-CC_ESM2_roberta,True,True,0.3150561451911926
go-CC_ProtBert-BFD_roberta,False,True,0.39940717816352844
go-CC_ESM2_roberta,True,False,0.32436373829841614
go-CC_ESM2_roberta,False,True,0.33182308077812195
