name,use_fuse,use_model,acc
loc_ESM-1B_roberta,True,True,0.7340235630132096
loc_ESM-1B_roberta,True,False,0.8107818636201357
loc_ESM-1B_roberta,False,True,0.6968939664405569
loc_ESM-1B_roberta,True,True,0.7333095323098894
loc_ESM-1B_roberta,True,False,0.8075687254551945
loc_ESM2_roberta,True,True,0.7408068546947518
loc_ESM-1B_roberta,False,True,0.6986790431988575
loc_ESM-1B_roberta,True,True,0.7329525169582292
loc_ESM2_roberta,True,False,0.7368796858264905
loc_ESM3_roberta,True,True,0.7707961442342021
loc_ESM2_roberta,False,True,0.7408068546947518
loc_ESM-1B_roberta,True,False,0.7990003570153517
loc_ESM3_roberta,True,False,0.7400928239914316
loc_ESM2_roberta,True,True,0.7436629775080329
loc_ProtBertT5-xl_roberta,True,True,0.8479114601927883
loc_ESM-1B_roberta,False,True,0.7408068546947518
loc_ESM-1B_roberta,True,True,0.7540164227061764
loc_ESM3_roberta,False,True,0.7768654052124241
loc_ESM2_roberta,True,False,0.729382363441628
loc_ProtBertT5-xl_roberta,True,False,0.8189932167083185
loc_ProtBertT5-xl_roberta,False,True,0.8189932167083185
loc_ESM3_roberta,True,True,0.7657979293109604
loc_ESM-1B_roberta,True,False,0.797215280257051
loc_ESM2_roberta,False,True,0.7318814709032488
loc_ProtBertT5-xl_roberta,True,True,0.8372009996429847
loc_ESM-1B_roberta,False,True,0.7051053195287398
loc_ESM2_roberta,True,True,0.726526240628347
loc_ESM3_roberta,True,False,0.7279543020349875
loc_ProtBert-BFD_roberta,True,True,0.7843627275972866
loc_ESM-1B_roberta,True,True,0.7607997143877187
loc_ProtBertT5-xl_roberta,True,False,0.8200642627632988
loc_ESM2_roberta,True,False,0.7193859335951446
loc_ESM3_roberta,False,True,0.7547304534094966
loc_ProtBert-BFD_roberta,True,False,0.746876115672974
loc_ProtBertT5-xl_roberta,False,True,0.8150660478400571
loc_ESM-1B_roberta,True,False,0.7929310960371296
loc_ProtBert-BFD_roberta,False,True,0.7547304534094966
loc_ESM2_roberta,False,True,0.7097465191003213
loc_ESM-1B_roberta,False,True,0.7225990717600856
loc_ESM3_roberta,True,True,0.76472688325598
loc_ProtBertT5-xl_roberta,True,True,0.8389860764012853
loc_ProtBert-BFD_roberta,True,True,0.7740092823991431
loc_ESM2_roberta,True,True,0.7183148875401643
loc_ESM-1B_roberta,True,True,0.7793645126740449
loc_ESM3_roberta,True,False,0.6926097822206355
loc_ProtBertT5-xl_roberta,True,False,0.8182791860049982
loc_ESM2_roberta,True,False,0.7143877186719029
loc_ProtBert-BFD_roberta,True,False,0.7515173152445556
loc_ESM-1B_roberta,True,False,0.7993573723670118
loc_ESM3_roberta,False,True,0.7565155301677973
loc_ProtBertT5-xl_roberta,False,True,0.8161370938950375
loc_ESM2_roberta,False,True,0.7165298107818636
loc_ProtBert-BFD_roberta,False,True,0.752945376651196
loc_ESM-1B_roberta,False,True,0.7493752231345948
loc_ESM3_roberta,True,True,0.7586576222777579
loc_ESM-1B_roberta,True,True,0.750089253837915
loc_ProtBertT5-xl_roberta,True,True,0.8347018921813638
loc_ProtBert-BFD_roberta,True,True,0.7700821135308819
loc_ESM2_roberta,True,True,0.7368796858264905
loc_ESM-1B_roberta,True,False,0.8054266333452339
loc_ESM3_roberta,True,False,0.7136736879685827
loc_ESM2_roberta,True,False,0.720456979650125
loc_ProtBertT5-xl_roberta,True,False,0.8164941092466976
loc_ProtBert-BFD_roberta,True,False,0.744019992859693
loc_ESM-1B_roberta,False,True,0.694394858978936
loc_ESM3_roberta,False,True,0.7497322384862549
loc_ProtBert-BFD_roberta,False,True,0.7665119600142806
loc_ProtBertT5-xl_roberta,False,True,0.8097108175651553
loc_ESM2_roberta,False,True,0.7193859335951446
loc_ESM-1B_roberta,True,True,0.7533023920028561
loc_ESM3_roberta,True,True,0.7643698679043199
loc_ProtBertT5-xl_roberta,True,True,0.8372009996429847
loc_ProtBert-BFD_roberta,True,True,0.7829346661906462
loc_ESM-1B_roberta,True,False,0.7832916815423063
loc_ESM2_roberta,True,True,0.7197429489468047
loc_ESM-1B_roberta,False,True,0.7200999642984648
