name,m_fuse,p_fuse,m_model,p_model,auprc
Davis_ProtBertT5-xl_roberta,True,False,True,True,0.8130475878715515
Davis_ProtBert-BFD_chemberta,False,False,True,True,0.8135111927986145
Davis_ProtBertT5-xl_pebchem10m,False,False,True,True,0.8042660355567932
Davis_ProtBert-BFD_pebchem10m,True,True,False,True,0.803244948387146
Davis_ProtBert-BFD_chemberta,True,True,False,True,0.8069827556610107
Davis_ProtBert-BFD_roberta,True,True,True,False,0.7883015275001526
Davis_ProtBertT5-xl_roberta,True,True,True,True,0.8270320892333984
Davis_ProtBertT5-xl_pebchem10m,True,True,False,True,0.8238626718521118
Davis_ProtBert-BFD_pebchem10m,True,True,True,False,0.770512044429779
Davis_ProtBert-BFD_roberta,False,True,True,True,0.8055422306060791
Davis_ProtBert-BFD_chemberta,True,True,True,False,0.781679093837738
Davis_ProtBertT5-xl_pebchem10m,True,True,True,False,0.7915272116661072
Davis_ProtBert-BFD_pebchem10m,False,True,True,True,0.7858650088310242
Davis_ProtBertT5-xl_roberta,True,True,False,False,0.8201670050621033
Davis_ProtBertT5-xl_pebchem10m,False,True,True,True,0.8131199479103088
Davis_ProtBert-BFD_pebchem10m,True,False,True,True,0.8151071667671204
Davis_ProtBert-BFD_roberta,True,False,True,True,0.8178615570068359
Davis_ESM-1B_pebchem10m,True,True,True,True,0.8368455171585083
Davis_ProtBert-BFD_chemberta,False,True,True,True,0.826511561870575
Davis_ProtBertT5-xl_pebchem10m,True,False,True,True,0.8206673264503479
Davis_ProtBertT5-xl_roberta,False,False,True,True,0.8252407312393188
Davis_ProtBert-BFD_roberta,True,True,True,True,0.8095791935920715
Davis_ProtBert-BFD_pebchem10m,True,True,True,True,0.8147455453872681
Davis_ESM-1B_pebchem10m,True,True,False,False,0.8326522707939148
Davis_ProtBertT5-xl_pebchem10m,True,True,True,True,0.8226560354232788
Davis_ProtBert-BFD_chemberta,True,False,True,True,0.8174831867218018
Davis_ProtBertT5-xl_roberta,True,True,False,True,0.8224956393241882
Davis_ProtBert-BFD_roberta,True,True,False,False,0.7833577394485474
Davis_ProtBertT5-xl_chemberta,True,True,True,True,0.8169934153556824
Davis_ProtBert-BFD_pebchem10m,True,True,False,False,0.7932398915290833
Davis_ESM-1B_pebchem10m,False,False,True,True,0.7941939234733582
Davis_ProtBert-BFD_chemberta,True,True,True,True,0.8059179186820984
Davis_ProtBert-BFD_roberta,False,False,True,True,0.7934447526931763
Davis_ProtBertT5-xl_pebchem10m,True,True,False,False,0.8215294480323792
Davis_ProtBertT5-xl_roberta,True,True,True,False,0.8211107850074768
Davis_ProtBertT5-xl_chemberta,True,True,False,False,0.8246090412139893
Davis_ProtBert-BFD_chemberta,True,True,False,False,0.7786017656326294
Davis_ProtBert-BFD_roberta,True,True,False,True,0.8017393350601196
Davis_ProtBertT5-xl_pebchem10m,False,False,True,True,0.8147111535072327
Davis_ProtBert-BFD_pebchem10m,False,False,True,True,0.8092681169509888
Davis_ESM-1B_pebchem10m,True,True,False,True,0.8416690230369568
Davis_ProtBertT5-xl_chemberta,False,False,True,True,0.8167357444763184
Davis_ProtBert-BFD_chemberta,False,False,True,True,0.7903128266334534
Davis_ProtBertT5-xl_roberta,False,True,True,True,0.8286232948303223
Davis_ProtBertT5-xl_pebchem10m,True,True,False,True,0.8295311331748962
Davis_ProtBert-BFD_pebchem10m,True,True,False,True,0.8174216151237488
Davis_ProtBert-BFD_roberta,True,True,True,False,0.795677125453949
Davis_ESM-1B_pebchem10m,True,True,True,False,0.8346747756004333
Davis_ProtBertT5-xl_chemberta,True,True,False,True,0.8394539952278137
Davis_ProtBert-BFD_chemberta,True,True,False,True,0.809996485710144
Davis_ESM-1B_roberta,True,True,True,True,0.8340866565704346
Davis_ProtBertT5-xl_pebchem10m,True,True,True,False,0.81768399477005
Davis_ProtBertT5-xl_roberta,True,False,True,True,0.8316091299057007
Davis_ProtBert-BFD_roberta,False,True,True,True,0.8004502654075623
Davis_ProtBert-BFD_pebchem10m,True,True,True,False,0.7940028309822083
Davis_ESM-1B_pebchem10m,False,True,True,True,0.8319094181060791
Davis_ProtBertT5-xl_chemberta,True,True,True,False,0.8113417625427246
Davis_ESM-1B_roberta,True,True,False,False,0.8338125348091125
Davis_ProtBert-BFD_chemberta,True,True,True,False,0.78664231300354
Davis_ProtBertT5-xl_roberta,True,True,True,True,0.8106859922409058
Davis_ESM-1B_chemberta,True,True,True,True,0.8430328965187073
Davis_ProtBertT5-xl_pebchem10m,False,True,True,True,0.8325368762016296
Davis_ProtBert-BFD_chemberta,False,True,True,True,0.7986986041069031
Davis_ESM2_chemberta,True,True,True,True,0.8027503490447998
Davis_ProtBertT5-xl_chemberta,False,True,True,True,0.8253540396690369
Davis_ESM-1B_pebchem10m,True,False,True,True,0.7867963314056396
Davis_ProtBert-BFD_roberta,True,False,True,True,0.8112975358963013
Davis_ESM2_pebchem10m,True,True,True,True,0.7793760299682617
Davis_ProtBert-BFD_pebchem10m,False,True,True,True,0.8243738412857056
Davis_ProtBertT5-xl_roberta,True,True,False,False,0.7977654933929443
Davis_ProtBertT5-xl_pebchem10m,True,False,True,True,0.8302761912345886
Davis_ESM-1B_roberta,False,False,True,True,0.7910537123680115
Davis_ESM2_roberta,True,True,True,True,0.8100143074989319
Davis_ESM-1B_chemberta,True,True,False,False,0.8444218635559082
Davis_ProtBertT5-xl_chemberta,True,False,True,True,0.8141409158706665
Davis_ESM-1B_pebchem10m,True,True,True,True,0.7978600263595581
Davis_ProtBert-BFD_chemberta,True,False,True,True,0.80787593126297
Davis_ESM2_chemberta,True,True,False,False,0.8042430281639099
Davis_ProtBertT5-xl_roberta,False,False,True,True,0.7936662435531616
Davis_ProtBert-BFD_roberta,True,True,True,True,0.8255481123924255
Davis_ESM-1B_roberta,True,True,False,True,0.8165754675865173
Davis_ProtBertT5-xl_chemberta,True,True,True,True,0.8034296631813049
Davis_ProtBertT5-xl_pebchem10m,True,True,True,True,0.8244040012359619
Davis_ESM-1B_pebchem10m,True,True,False,False,0.8206626772880554
Davis_ESM3_pebchem10m,True,True,True,True,0.8095877170562744
Davis_ProtBert-BFD_pebchem10m,True,False,True,True,0.8120604157447815
Davis_ESM2_pebchem10m,True,True,False,False,0.8167946934700012
Davis_ESM2_roberta,True,True,False,False,0.8100870251655579
Davis_ProtBertT5-xl_roberta,True,True,False,True,0.8049896955490112
Davis_ESM-1B_chemberta,False,False,True,True,0.794864296913147
Davis_ESM2_chemberta,False,False,True,True,0.7835192680358887
Davis_ProtBert-BFD_roberta,True,True,False,False,0.7979833483695984
Davis_ESM-1B_roberta,True,True,True,False,0.8284816145896912
Davis_ProtBertT5-xl_pebchem10m,True,True,False,False,0.7935881614685059
Davis_ProtBert-BFD_chemberta,True,True,True,True,0.8125335574150085
Davis_ESM-1B_pebchem10m,False,False,True,True,0.7524181008338928
Davis_ProtBertT5-xl_chemberta,True,True,False,False,0.7956919074058533
Davis_ProtBert-BFD_pebchem10m,True,True,True,True,0.818219006061554
Davis_ESM3_pebchem10m,True,True,False,False,0.8118441104888916
Davis_ProtBertT5-xl_roberta,True,True,True,False,0.791485607624054
Davis_ESM2_chemberta,True,True,False,True,0.8001170754432678
Davis_ESM2_pebchem10m,False,False,True,True,0.8040679693222046
Davis_ESM-1B_roberta,False,True,True,True,0.8290846347808838
Davis_ESM2_roberta,False,False,True,True,0.804509162902832
Davis_ProtBertT5-xl_pebchem10m,False,False,True,True,0.8169150948524475
Davis_ProtBert-BFD_roberta,False,False,True,True,0.8318803310394287
Davis_ProtBertT5-xl_chemberta,False,False,True,True,0.8136453032493591
Davis_ProtBertT5-xl_roberta,False,True,True,True,0.7919749617576599
Davis_ESM-1B_chemberta,True,True,False,True,0.8399319648742676
Davis_ProtBert-BFD_pebchem10m,True,True,False,False,0.7977519035339355
Davis_ESM3_pebchem10m,False,False,True,True,0.8073030114173889
Davis_ESM-1B_pebchem10m,True,True,False,True,0.8263195157051086
Davis_ProtBert-BFD_chemberta,True,True,False,False,0.7963775396347046
Davis_ProtBertT5-xl_pebchem10m,True,True,False,True,0.8017522692680359
Davis_ESM2_chemberta,True,True,True,False,0.7953742146492004
Davis_ProtBertT5-xl_chemberta,True,True,False,True,0.8010243773460388
Davis_ESM2_pebchem10m,True,True,False,True,0.8050345182418823
Davis_ProtBertT5-xl_roberta,True,False,True,True,0.8069285154342651
Davis_ESM2_roberta,True,True,False,True,0.8134927749633789
Davis_ProtBert-BFD_roberta,True,True,False,True,0.8290245532989502
Davis_ESM-1B_roberta,True,False,True,True,0.8033460974693298
Davis_ProtBertT5-xl_pebchem10m,True,True,True,False,0.7909089922904968
Davis_ProtBert-BFD_chemberta,False,False,True,True,0.7998642921447754
Davis_ESM-1B_chemberta,True,True,True,False,0.8331628441810608
Davis_ESM2_chemberta,False,True,True,True,0.7992199659347534
Davis_ProtBert-BFD_pebchem10m,False,False,True,True,0.8304128646850586
Davis_ESM3_pebchem10m,True,True,False,True,0.8253774046897888
Davis_ESM-1B_pebchem10m,True,True,True,False,0.8321965932846069
Davis_ESM2_pebchem10m,True,True,True,False,0.7970945239067078
Davis_ProtBertT5-xl_chemberta,True,True,True,False,0.7981709241867065
Davis_ProtBertT5-xl_roberta,True,True,True,True,0.8243406414985657
Davis_ProtBert-BFD_roberta,True,True,True,False,0.8005720973014832
Davis_ProtBertT5-xl_pebchem10m,False,True,True,True,0.8282378315925598
Davis_ESM2_chemberta,True,False,True,True,0.7881513833999634
Davis_ESM-1B_roberta,True,True,True,True,0.8147685527801514
Davis_ProtBert-BFD_chemberta,True,True,False,True,0.8083825707435608
Davis_ESM2_roberta,True,True,True,False,0.8154474496841431
Davis_ESM3_pebchem10m,True,True,True,False,0.8045192360877991
Davis_ProtBert-BFD_pebchem10m,True,True,False,True,0.8297512531280518
Davis_ESM-1B_pebchem10m,False,True,True,True,0.8271471858024597
Davis_ESM-1B_chemberta,False,True,True,True,0.8354855179786682
Davis_ProtBertT5-xl_chemberta,False,True,True,True,0.804665207862854
Davis_ESM2_pebchem10m,False,True,True,True,0.8145570158958435
Davis_ProtBertT5-xl_pebchem10m,True,False,True,True,0.8143532872200012
Davis_ESM-1B_roberta,True,True,False,False,0.8102304339408875
Davis_ProtBert-BFD_roberta,False,True,True,True,0.8215888142585754
Davis_ProtBert-BFD_chemberta,True,True,True,False,0.7782705426216125
Davis_ESM3_pebchem10m,False,True,True,True,0.788335919380188
Davis_ProtBertT5-xl_roberta,True,True,False,False,0.8034927845001221
Davis_ESM-1B_chemberta,True,False,True,True,0.768261194229126
Davis_ProtBertT5-xl_chemberta,True,False,True,True,0.8119070529937744
Davis_ESM2_roberta,False,True,True,True,0.8126594424247742
Davis_ESM-1B_pebchem10m,True,False,True,True,0.7666931748390198
Davis_ProtBert-BFD_pebchem10m,True,True,True,False,0.8100886940956116
Davis_ESM2_chemberta,True,True,True,True,0.7933545112609863
Davis_ProtBertT5-xl_pebchem10m,True,True,True,True,0.8195566534996033
Davis_ProtBert-BFD_chemberta,False,True,True,True,0.79030841588974
Davis_ESM2_pebchem10m,True,False,True,True,0.789688229560852
Davis_ESM3_pebchem10m,True,False,True,True,0.8098700046539307
