name,use_fuse,use_model,f1max
go-MF_ProtBert-BFD_roberta,False,True,0.5663905739784241
go-MF_ESM2_roberta,False,True,0.48710089921951294
go-MF_ProtBertT5-xl_roberta,True,True,0.6416478753089905
go-MF_ProtBert-BFD_roberta,True,True,0.5654547810554504
go-MF_ESM2_roberta,True,True,0.48703649640083313
go-MF_ProtBertT5-xl_roberta,True,False,0.583941638469696
go-MF_ProtBert-BFD_roberta,True,False,0.42873460054397583
go-MF_ESM2_roberta,True,False,0.4542420208454132
go-MF_ProtBertT5-xl_roberta,False,True,0.6442655920982361
go-MF_ProtBert-BFD_roberta,False,True,0.5613341927528381
go-MF_ESM2_roberta,False,True,0.48419731855392456
go-MF_ProtBertT5-xl_roberta,True,True,0.6422017216682434
go-MF_ProtBertT5-xl_roberta,True,False,0.5873547792434692
go-MF_ProtBertT5-xl_roberta,False,True,0.6377271413803101
