name,use_fuse,use_model,acc
loc1_ProtBert-BFD_roberta,False,True,0.8970840480274442
loc1_ESM-1B_roberta,False,True,0.8879359634076616
loc1_ESM3_roberta,True,False,0.8770726129216695
loc1_ProtBertT5-xl_roberta,True,True,0.9188107489994283
loc1_ESM2_roberta,True,False,0.8524871355060034
loc1_ESM3_roberta,False,True,0.8936535162950258
loc1_ProtBert-BFD_roberta,True,True,0.9050886220697542
loc1_ESM-1B_roberta,True,True,0.89136649514008
loc1_ESM2_roberta,False,True,0.8662092624356775
loc1_ProtBertT5-xl_roberta,True,False,0.9068038879359634
loc1_ESM3_roberta,True,True,0.9028016009148084
loc1_ProtBert-BFD_roberta,True,False,0.8879359634076616
loc1_ESM-1B_roberta,True,False,0.9005145797598628
loc1_ESM2_roberta,True,True,0.8570611778158947
loc1_ProtBertT5-xl_roberta,False,True,0.9113779302458548
loc1_ESM3_roberta,True,False,0.8616352201257862
loc1_ESM-1B_roberta,False,True,0.8862206975414523
loc1_ProtBert-BFD_roberta,False,True,0.89937106918239
loc1_ESM2_roberta,True,False,0.8610634648370498
loc1_ESM3_roberta,False,True,0.9016580903373356
loc1_ESM-1B_roberta,True,True,0.8982275586049171
loc1_ProtBert-BFD_roberta,True,True,0.9068038879359634
loc1_ESM2_roberta,False,True,0.8627787307032591
loc1_ESM3_roberta,True,True,0.9045168667810177
loc1_ESM-1B_roberta,True,False,0.8942252715837622
loc1_ProtBert-BFD_roberta,True,False,0.8987993138936535
loc1_ESM3_roberta,True,False,0.8599199542595769
loc1_ESM-1B_roberta,False,True,0.8793596340766152
loc1_ProtBert-BFD_roberta,False,True,0.9079473985134362
loc1_ESM3_roberta,False,True,0.8999428244711264
loc1_ProtBert-BFD_roberta,True,True,0.9079473985134362
loc1_ESM3_roberta,True,True,0.9039451114922813
loc1_ProtBert-BFD_roberta,True,False,0.8930817610062893
loc1_ProtBert-BFD_roberta,False,True,0.8867924528301887
loc1_ESM3_roberta,True,False,0.8850771869639794
loc1_ProtBert-BFD_roberta,True,True,0.9090909090909091
loc1_ESM3_roberta,False,True,0.8925100057175529
loc1_ProtBert-BFD_roberta,True,False,0.906232132647227
loc1_ProtBert-BFD_roberta,False,True,0.9050886220697542
