name,use_fuse,use_model,f1max
go-BP_ProtBert-BFD_roberta,True,False,0.31572234630584717
go-BP_ESM2_roberta,False,True,0.31789276003837585
go-BP_ProtBertT5-xl_roberta,True,True,0.43950405716896057
go-BP_ProtBert-BFD_roberta,False,True,0.38353317975997925
go-BP_ESM2_roberta,True,True,0.33327993750572205
go-BP_ProtBertT5-xl_roberta,True,False,0.404567688703537
go-BP_ProtBert-BFD_roberta,True,True,0.38621002435684204
go-BP_ESM2_roberta,True,False,0.3056769371032715
go-BP_ProtBertT5-xl_roberta,False,True,0.43889912962913513
go-BP_ProtBert-BFD_roberta,True,False,0.30793944001197815
go-BP_ESM2_roberta,False,True,0.3355186879634857
go-BP_ProtBert-BFD_roberta,False,True,0.37507209181785583
go-BP_ProtBert-BFD_roberta,True,True,0.3838138282299042
go-BP_ProtBert-BFD_roberta,True,False,0.31443923711776733
go-BP_ProtBert-BFD_roberta,False,True,0.3845486044883728
